	protein	gene
BSU21040	DNA-directed RNA polymerase YonO (EC 2.7.7.6) (DNA-dependent RNA polymerase YonO) (SPbeta prophage-derived protein YonO)	yonO BSU21040
BSU21050	SPbeta prophage-derived DNA-binding protein HU 2	hup2 yonN BSU21050
BSU21058	NA	NA
BSU21060	SPbeta prophage-derived uncharacterized protein YonK	yonK BSU21060
BSU21070	SPbeta prophage-derived uncharacterized protein YonJ	yonJ BSU21070
BSU21080	SPbeta prophage-derived uncharacterized protein YonI	yonI BSU21080
BSU21090	SPbeta prophage-derived uncharacterized protein YonH	yonH BSU21090
BSU21100	SPbeta prophage-derived uncharacterized protein YonG	yonG BSU21100
BSU21110	SPbeta prophage-derived uncharacterized protein YonF	yonF BSU21110
BSU21120	SPbeta prophage-derived uncharacterized protein YonE	yonE BSU21120
BSU21130	SPbeta prophage-derived uncharacterized protein YonD	yonD BSU21130
BSU21140	SPbeta prophage-derived uncharacterized protein YonC	yonC BSU21140
BSU21150	SPbeta prophage-derived uncharacterized protein YonB	yonB BSU21150
BSU21160	SPbeta prophage-derived uncharacterized protein YonA	yonA BSU21160
BSU21170	SPbeta prophage-derived uncharacterized protein YomZ	yomZ BSU21170
BSU21180	SPbeta prophage-derived uncharacterized protein YomY	yomY BSU21180
BSU21190	SPbeta prophage-derived uncharacterized protein YomX	yomX BSU21190
BSU21200	SPbeta prophage-derived uncharacterized protein YomW	yomW BSU21200
BSU21210	SPbeta prophage-derived uncharacterized protein YomV	yomV BSU21210
BSU21220	SPbeta prophage-derived uncharacterized protein YomU	yomU BSU21220
BSU21229	SPbeta prophage-derived uncharacterized protein YouA	youA BSU21229
BSU21230	SPbeta prophage-derived uncharacterized protein YomT	yomT BSU21230
BSU21240	SPbeta prophage-derived uncharacterized protein YomS	yomS BSU21240
BSU21250	SPbeta prophage-derived uncharacterized protein YomR	yomR BSU21250
BSU21260	SPbeta prophage-derived uncharacterized protein YomQ	yomQ BSU21260
BSU21270	SPbeta prophage-derived uncharacterized protein YomP	yomP BSU21270
BSU21280	SPbeta prophage-derived uncharacterized protein YomO	yomO BSU21280
BSU21290	SPbeta prophage-derived uncharacterized protein YomN	yomN BSU21290
BSU21300	SPbeta prophage-derived recombinase-like protein YomM	yomM BSU21300
BSU21310	Uncharacterized protein YozP	yozP BSU21310
BSU21320	SPbeta prophage-derived uncharacterized protein YomL	yomL BSU21320
BSU21329	Uncharacterized membrane protein YdzM/YouB	ydzM BSU05099; youB BSU21329
BSU21330	SPbeta prophage-derived uncharacterized protein YomK	yomK BSU21330
BSU21340	SPbeta prophage-derived uncharacterized membrane protein YomJ	yomJ BSU21340
BSU21350	SPbeta prophage-derived uncharacterized transglycosylase YomI (EC 4.2.2.-)	yomI BSU21350
BSU21360	SPbeta prophage-derived uncharacterized protein YomH	yomH BSU21360
BSU21370	SPbeta prophage-derived uncharacterized protein YomG	yomG BSU21370
BSU21380	SPbeta prophage-derived uncharacterized protein YomF	yomF BSU21380
BSU21390	SPbeta prophage-derived uncharacterized protein YomE	yomE BSU21390
BSU21400	SPbeta prophage-derived uncharacterized protein YomD	yomD BSU21400
BSU21409	NA	NA
BSU21410	N-acetylmuramoyl-L-alanine amidase BlyA (EC 3.5.1.28) (Autolysin) (Cell wall hydrolase)	blyA yomC BSU21410
BSU21420	SPbeta prophage-derived protein BhlA	bhlA yomB BSU21420
BSU21430	SPbeta prophage-derived protein BhlB	bhlB yomA BSU21430
BSU21440	SPbeta prophage-derived disulfide bond formation protein B (Disulfide oxidoreductase B) (Thiol-disulfide oxidoreductase B)	bdbB yolK BSU21440
BSU21450	SPbeta prophage-derived glycosyltransferase SunS (EC 2.4.1.-)	sunS yolJ BSU21450
BSU21460	SPbeta prophage-derived disulfide bond formation protein A (Disulfide oxidoreductase A) (Thiol-disulfide oxidoreductase A)	bdbA yolI BSU21460
BSU21470	SPbeta prophage-derived sublancin-168-processing and transport ATP-binding protein SunT (EC 3.4.22.-) (EC 7.-.-.-)	sunT yolH BSU21470
BSU21480	SPbeta prophage-derived bacteriocin sublancin-168	sunA yolG BSU21480
BSU21490	Sublancin immunity protein SunI (SPbeta prophage-derived protein YolF)	sunI yolF BSU21490
BSU21500	Putative UV-damage repair protein UvrX	uvrX BSU21500
BSU21510	SPbeta prophage-derived uncharacterized protein YolD	yolD BSU21510
BSU21520	SPbeta prophage-derived uncharacterized protein YolC	yolC BSU21520
BSU21530	SPbeta prophage-derived uncharacterized protein YolB	yolB BSU21530
BSU21540	SPbeta prophage-derived uncharacterized protein YolA	yolA BSU21540
BSU21546	NA	NA
BSU21550	SPbeta prophage-derived uncharacterized N-acetyltransferase YokL (EC 2.3.1.-)	yokL BSU21550
BSU21560	SPbeta prophage-derived uncharacterized protein YokK	yokK BSU21560
BSU21570	Immunity protein YokJ (SPbeta prophage-derived uncharacterized YokJ)	yokJ BSU21570
BSU21580	Toxin YokI (DNase YokL) (SPbeta prophage-derived protein YokI)	yokI BSU21580
BSU21590	SPbeta prophage-derived uncharacterized protein YokH	yokH BSU21590
BSU21598	NA	NA
BSU21599	NA	NA
BSU21600	SPbeta prophage-derived pesticidal crystal protein-like YokG	yokG BSU21600
BSU21610	SPbeta prophage-derived endonuclease YokF (EC 3.1.-.-)	yokF BSU21610
BSU21620	SPbeta prophage-derived uncharacterized protein YokE	yokE BSU21620
BSU21630	SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD (EC 2.3.1.-)	yokD BSU21630
BSU21638	NA	NA
BSU21639	NA	NA
BSU21640	SPbeta prophage-derived uncharacterized protein YokC	yokC BSU21640
BSU21650	SPbeta prophage-derived uncharacterized lipoprotein YokB	yokB BSU21650
BSU21660	Resolvase homolog YokA	yokA BSU21660
BSU21670	NA	NA
BSU21680	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	msrB yppQ BSU21680
BSU21690	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	msrA yppP BSU21690
BSU21700	Uncharacterized HTH-type transcriptional regulator YpoP	ypoP BSU21700
BSU21710	Probable multidrug resistance protein YpnP	ypnP BSU21710
BSU21720	Uncharacterized protein YpmT	ypmT BSU21720
BSU21730	Uncharacterized protein YpmS	ypmS BSU21730
BSU21740	Uncharacterized protein YpmR	ypmR yzjA BSU21740
BSU21750	SCO1 protein homolog (BsSco)	ypmQ BSU21750
BSU21760	Uncharacterized protein YpmP	ypmP BSU21760
BSU21770	L-threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase)	ilvA BSU21770
BSU21780	Putative sigma L-dependent transcriptional regulator YplP	yplP BSU21780
BSU21790	Hemolysin-3 homolog (Hemolysin III homolog)	yplQ BSU21790
BSU21800	Uncharacterized protein YpkP	ypkP BSU21800
BSU21810	Dihydrofolate reductase (EC 1.5.1.3)	dfrA BSU21810
BSU21820	Thymidylate synthase 2 (TS 2) (TSase 2) (EC 2.1.1.45) (Thymidylate synthase A) (TS A) (TSase A)	thyA2 thyB BSU21820
BSU21830	Uncharacterized protein YpjQ	ypjQ BSU21830
BSU21840	Uncharacterized protein YpjP	ypjP BSU21840
BSU21850	Uncharacterized protein YpiP	ypiP BSU21850
BSU21860	Bacilliredoxin BrxA (Brx-A) (Dithiol bacilliredoxin) (UPF0403 protein YphP)	brxA yphP BSU21860
BSU21870	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9) (Vegetative protein 110) (VEG110)	ilvD BSU21870
BSU21880	Uncharacterized protein YpgR	ypgR BSU21880
BSU21890	Uncharacterized protein YpgQ	ypgQ BSU21890
BSU21900	Glutathione peroxidase homolog BsaA (EC 1.-.-.-)	bsaA BSU21900
BSU21910	Homoserine O-acetyltransferase (HAT) (EC 2.3.1.31) (Homoserine transacetylase) (HTA)	metAA metA metB BSU21910
BSU21920	Processive diacylglycerol beta-glucosyltransferase (EC 2.4.1.315) (Beta-diglucosyldiacylglycerol synthase) (Beta-DGS) (DGlcDAG synthase) (Glc2-DAG synthase) (Beta-gentiobiosyldiacylglycerol synthase) (Beta-monoglucosyldiacylglycerol synthase) (Beta-MGS) (MGlcDAG synthase) (Beta-triglucosyldiacylglycerol synthase) (TGlcDAG synthase) (Diglucosyl diacylglycerol synthase (1,6-linking)) (Glucosyl-beta-1,6-glucosyldiacylglycerol synthase) (UDP glucosyltransferase) (UDP-glucose:1,2-diacylglycerol-3-beta-D-glucosyltransferase)	ugtP ypfP BSU21920
BSU21925	NA	NA
BSU21930	Cold shock protein CspD	cspD BSU21930
BSU21940	Regulatory protein DegR	degR prtR BSU21940
BSU21950	Uncharacterized protein YpzA	ypzA BSU21950
BSU21960	Uncharacterized protein YpeQ	ypeQ BSU21960
BSU21970	Uncharacterized protein YpeP	ypeP BSU21970
BSU21980	Probable queuosine precursor transporter (Q precursor transporter)	ypdP BSU21980
BSU21990	14.7 kDa ribonuclease H-like protein	rnhA ypdQ BSU21990
BSU22000	Small, acid-soluble spore protein L (SASP L)	sspL BSU22000
BSU22010	5'-3' exonuclease (EC 3.1.11.-)	ypcP BSU22010
BSU22019	Uncharacterized protein YpzF	ypzF BSU22019
BSU22020	Uncharacterized protein YpbS	ypbS BSU22020
BSU22030	Dynamin-like protein A (DynA)	dynA ypbR BSU22030
BSU22036	NA	NA
BSU22040	Uncharacterized protein YpbQ	ypbQ BSU22040
BSU22050	Putative chalcone synthase (EC 2.3.1.74) (Naringenin-chalcone synthase)	bcsA BSU22050
BSU22060	Xanthine permease	pbuX ypaQ BSU22060
BSU22070	Xanthine phosphoribosyltransferase (XPRTase) (EC 2.4.2.22)	xpt BSU22070
BSU22080	Carboxypeptidase 1 (EC 3.4.17.19) (BsuCP)	ypwA BSU22080
BSU22090	2-keto-3-deoxygluconate permease (KDG permease)	kdgT BSU22090
BSU22100	KHG/KDPG aldolase [Includes: 4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) (2-keto-4-hydroxyglutarate aldolase) (KHG-aldolase); 2-dehydro-3-deoxy-phosphogluconate aldolase (EC 4.1.2.14) (2-keto-3-deoxy-6-phosphogluconate aldolase) (KDPG-aldolase) (Phospho-2-dehydro-3-deoxygluconate aldolase) (Phospho-2-keto-3-deoxygluconate aldolase)]	kdgA BSU22100
BSU22110	2-dehydro-3-deoxygluconokinase (EC 2.7.1.45) (2-keto-3-deoxygluconokinase) (3-deoxy-2-oxo-D-gluconate kinase) (KDG kinase)	kdgK BSU22110
BSU22120	HTH-type transcriptional regulator KdgR (Kdg operon repressor)	kdgR BSU22120
BSU22130	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17) (5-keto-4-deoxyuronate isomerase) (DKI isomerase)	kduI BSU22130
BSU22140	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127) (2-keto-3-deoxygluconate 5-dehydrogenase) (2-keto-3-deoxygluconate oxidoreductase) (KDG oxidoreductase)	kduD BSU22140
BSU22150	Probable ATP-dependent helicase YpvA (EC 3.6.4.12)	ypvA BSU22150
BSU22160	Uncharacterized protein YptA	yptA BSU22160
BSU22169	Uncharacterized protein YpzG	ypzG BSU22169
BSU22170	Putative RNA methyltransferase YpsC (EC 2.1.1.-)	ypsC BSU22170
BSU22180	Cell cycle protein GpsB (Guiding PBP1-shuttling protein)	gpsB ypsB BSU22180
BSU22190	UPF0398 protein YpsA	ypsA BSU22190
BSU22200	Spore coat protein D	cotD BSU22200
BSU22205	NA	NA
BSU22210	Uncharacterized protein YprB	yprB BSU22210
BSU22220	Uncharacterized ATP-dependent helicase YprA (EC 3.6.4.-)	yprA BSU22220
BSU22230	Putative phosphotransferase enzyme IIA component YpqE (Putative PTS system EIIA component)	ypqE BSU22230
BSU22240	Uncharacterized protein YpqA	ypqA BSU22240
BSU22250	Uncharacterized protein YppG	yppG BSU22250
BSU22260	Uncharacterized protein YppF	yppF BSU22260
BSU22270	Uncharacterized protein YppE	yppE BSU22270
BSU22280	Uncharacterized protein YppD	yppD BSU22280
BSU22290	Small, acid-soluble spore protein M (SASP M)	sspM BSU22290
BSU22300	Uncharacterized protein YppC (ORFX)	yppC BSU22300
BSU22310	Holliday junction resolvase RecU (EC 3.1.21.10)	recU prfA yppB BSU22310
BSU22320	Penicillin-binding protein 1A/1B (PBP1) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	ponA BSU22320
BSU22330	Uncharacterized protein YpoC (ORFY)	ypoC jooC BSU22330
BSU22340	Endonuclease III (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase)	nth jooB ypoB BSU22340
BSU22350	DNA replication protein DnaD	dnaD BSU22350
BSU22360	Asparagine--tRNA ligase (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	asnS BSU22360
BSU22370	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	aspB BSU22370
BSU22380	Uncharacterized protein YpmB	ypmB BSU22380
BSU22390	Uncharacterized protein YpmA	ypmA BSU22390
BSU22400	3'-5' exonuclease DinG (EC 3.1.-.-)	dinG BSU22400
BSU22410	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	panD BSU22410
BSU22420	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC BSU22420
BSU22430	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	panB BSU22430
BSU22440	Bifunctional ligase/repressor BirA (Biotin--[acetyl-CoA-carboxylase] ligase) (EC 6.3.4.15) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase)	birA BSU22440
BSU22450	CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl- transferase) (tRNA nucleotidyltransferase) (tRNA-NT)	cca papS ypjI BSU22450
BSU22460	N-acetyl-alpha-D-glucosaminyl L-malate synthase (GlcNAc-Mal synthase) (EC 2.4.1.-) (L-malic acid glycosyltransferase BshA)	bshA jojH ypjH BSU22460
BSU22470	N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1 (GlcNAc-Mal deacetylase 1) (EC 3.5.1.-)	bshB1 jojG ypjG BSU22470
BSU22480	Methylglyoxal synthase (MGS) (EC 4.2.3.3)	mgsA ypjF BSU22480
BSU22490	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	dapB BSU22490
BSU22500	Uncharacterized protein YpjD	ypjD jojD BSU22500
BSU22510	UPF0750 membrane protein YpjC	ypjC jojC BSU22510
BSU22520	Uncharacterized protein YpjB	ypjB BSU22520
BSU22530	Uncharacterized protein YpjA	ypjA BSU22530
BSU22540	Menaquinol-cytochrome c reductase cytochrome b/c subunit	qcrC bfcC BSU22540
BSU22550	Menaquinol-cytochrome c reductase cytochrome b subunit	qcrB bfcB BSU22550
BSU22560	Menaquinol-cytochrome c reductase iron-sulfur subunit (Rieske iron-sulfur protein)	qcrA bfcA BSU22560
BSU22570	Uncharacterized protein YpiF	ypiF BSU22570
BSU22580	UPF0302 protein YpiB	ypiB BSU22580
BSU22590	TPR repeat-containing protein YpiA	ypiA BSU22590
BSU22600	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	aroA aroE BSU22600
BSU22610	Prephenate dehydrogenase (PDH) (EC 1.3.1.12)	tyrA BSU22610
BSU22620	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	hisC hisH BSU22620
BSU22630	Tryptophan synthase alpha chain (EC 4.2.1.20)	trpA BSU22630
BSU22640	Tryptophan synthase beta chain (EC 4.2.1.20)	trpB BSU22640
BSU22650	N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)	trpF BSU22650
BSU22660	Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48)	trpC BSU22660
BSU22670	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD BSU22670
BSU22680	Anthranilate synthase component 1 (AS) (ASI) (EC 4.1.3.27)	trpE BSU22680
BSU22690	Chorismate mutase AroH (CM) (EC 5.4.99.5)	aroH BSU22690
BSU22700	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	aroB BSU22700
BSU22710	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	aroC aroF BSU22710
BSU22720	Chemotaxis protein methyltransferase (EC 2.1.1.80)	cheR BSU22720
BSU22730	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	ndk BSU22730
BSU22740	Heptaprenyl diphosphate synthase component 2 (HepPP synthase subunit 2) (EC 2.5.1.30) (Spore germination protein C3)	hepT gerC3 gerCC hepB BSU22740
BSU22750	Demethylmenaquinone methyltransferase (EC 2.1.1.163)	menG gerC2 gerCB menH BSU22750
BSU22760	Heptaprenyl diphosphate synthase component 1 (HepPP synthase subunit 1) (EC 2.5.1.30) (Spore germination protein C1)	hepS gerC1 gerCA hepA BSU22760
BSU22770	Transcription attenuation protein MtrB (Trp RNA-binding attenuation protein) (TRAP) (Tryptophan RNA-binding attenuator protein)	mtrB BSU22770
BSU22780	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	folE mtrA BSU22780
BSU22790	DNA-binding protein HU 1 (DNA-binding protein II) (HB)	hupA dbpA hbs hbsU BSU22790
BSU22800	Stage IV sporulation protein A (EC 3.6.1.-) (Coat morphogenetic protein SpoIVA)	spoIVA spoVP BSU22800
BSU22810	Uncharacterized protein YphF (ORF1)	yphF johF BSU22810
BSU22820	Uncharacterized protein YphE	yphE BSU22820
BSU22830	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent dihydroxyacetone-phosphate reductase) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	gpsA glyC BSU22830
BSU22840	GTPase Der (GTP-binding protein EngA)	der engA yphC BSU22840
BSU22849	Uncharacterized protein YpzH	ypzH BSU22849
BSU22850	Uncharacterized protein YphB	yphB BSU22850
BSU22860	Uncharacterized protein YphA	yphA BSU22860
BSU22869	Uncharacterized protein YpzI	ypzI BSU22869
BSU22870	Isopentenyl-diphosphate delta-isomerase (IPP isomerase) (EC 5.3.3.2) (Isopentenyl diphosphate:dimethylallyl diphosphate isomerase) (Isopentenyl pyrophosphate isomerase) (Type 2 isopentenyl diphosphate isomerase) (IDI-2)	fni idi ypgA BSU22870
BSU22880	30S ribosomal protein S1 homolog	ypfD jofD BSU22880
BSU22890	Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)	cmk jofC ypfC BSU22890
BSU22900	Uncharacterized protein YpfB	ypfB jofB BSU22900
BSU22910	Uncharacterized protein YpfA	ypfA jofA BSU22910
BSU22920	Sporulation protein YpeB (PSPA12)	ypeB joeB yzuA BSU22920
BSU22930	Spore cortex-lytic enzyme (SCLE)	sleB ypeA BSU22930
BSU22940	Protease PrsW (EC 3.4.-.-) (Protease responsible for activating sigma-W) (Site-1 protease PrsW) (S1P protease PrsW)	prsW ypdC BSU22940
BSU22950	Bacilliredoxin reductase Bdr (EC 1.8.1.-) (Bacillithiol-disulfide reductase) (BSSB reductase) (NADPH-dependent disulfide oxidoreductase) (Thioredoxin reductase-like flavoprotein) (YpdA family putative bacillithiol disulfide reductase)	bdr ypdA BSU22950 HIR78_13750
BSU22960	Cryptic catabolic NAD-specific glutamate dehydrogenase GudB (NAD-GDH) (EC 1.4.1.2)	gudB ypcA BSU22960
BSU22970	Adapter protein MecA 2	mecB ypbH BSU22970
BSU22980	Uncharacterized protein YpbG	ypbG BSU22980
BSU22990	Uncharacterized protein YpbF	ypbF BSU22990
BSU23000	Uncharacterized protein YpbE	ypbE BSU23000
BSU23010	Uncharacterized protein YpbD	ypbD BSU23010
BSU23020	Probable ATP-dependent DNA helicase RecS (EC 3.6.4.12) (Recombination protein S)	recS ypbC BSU23020
BSU23030	Uncharacterized protein YpbB	ypbB BSU23030
BSU23040	Ferredoxin	fer ypbA BSU23040
BSU23050	Riboflavin transporter FmnP (FMN permease) (Riboflavin ECF transporter S component FmnP)	fmnP ribU ypaA BSU23050
BSU23070	D-3-phosphoglycerate dehydrogenase (PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399)	serA BSU23070
BSU23080	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	aroD aroC BSU23080
BSU23090	Anti-sigma-X factor RsiX (Sigma-X negative effector)	rsiX ypuN BSU23090
BSU23100	ECF RNA polymerase sigma factor SigX (ECF sigma factor SigX)	sigX ypuM BSU23100
BSU23110	Sensor histidine kinase ResE (EC 2.7.13.3)	resE ypxE BSU23110
BSU23120	Transcriptional regulatory protein ResD	resD ypxD BSU23120
BSU23130	Cytochrome c biogenesis protein ResC	resC ypxC BSU23130
BSU23140	Cytochrome c biogenesis protein ResB	resB ypxB BSU23140
BSU23150	Thiol-disulfide oxidoreductase ResA	resA ypxA BSU23150
BSU23160	Ribosomal large subunit pseudouridine synthase B (EC 5.4.99.22) (23S rRNA pseudouridine(2605) synthase) (rRNA pseudouridylate synthase B) (rRNA-uridine isomerase B)	rluB ypuL BSU23160
BSU23170	Spore maturation protein B	spmB ypuK BSU23170
BSU23180	Spore maturation protein A	spmA ypuJ BSU23180
