	protein	gene
b2119	Uncharacterized protein YehL	yehL b2119 JW5349
b2120	Uncharacterized protein YehM	yehM yehN yehO b2120 JW2108
b2121	Uncharacterized protein YehP	yehP b2121 JW5350
b2122	Protein YehQ	yehQ b2122 JW2110
b2123	Uncharacterized lipoprotein YehR	yehR b2123 JW5351
b2124	Uncharacterized protein YehS	yehS b2124 JW2112
b2125	Transcriptional regulatory protein BtsR	btsR yehT b2125 JW5352
b2126	Sensor histidine kinase BtsS (EC 2.7.13.3)	btsS yehU b2126 JW5353
b2127	HTH-type transcriptional regulator MlrA (MerR-like regulator A)	mlrA yehV b2127 JW2115
b4542	UPF0387 membrane protein YohO	yohO b4542 JW5354
b2128	Glycine betaine uptake system permease protein YehW	yehW b2128 JW2116
b2129	Glycine betaine uptake system ATP-binding protein YehX (EC 7.4.2.-)	yehX b2129 JW2117
b2130	Glycine betaine uptake system permease protein YehY	yehY b2130 JW2118
b2131	Glycine betaine-binding protein YehZ	yehZ osmF b2131 JW2119
b2132	Periplasmic beta-glucosidase (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)	bglX yohA b2132 JW2120
b2133	Quinone-dependent D-lactate dehydrogenase (EC 1.1.5.12) ((R)-lactate:quinone 2-oxidoreductase) (D-lactate dehydrogenase) (D-LDH) (Respiratory D-lactate dehydrogenase)	dld b2133 JW2121
b2134	D-alanyl-D-alanine endopeptidase (DD-endopeptidase) (EC 3.4.21.-) (Penicillin-binding protein 7) (PBP-7)	pbpG yohB b2134 JW5355
b2135	Inner membrane protein YohC	yohC b2135 JW5356
b2136	Inner membrane protein YohD	yohD b2136 JW2124
b2137	Uncharacterized oxidoreductase YohF (EC 1.-.-.-)	yohF yohE b2137 JW2125
b2139	Putative multidrug resistance outer membrane protein MdtQ	mdtQ yohG yohH b2139 JW5838/JW5358 b2138
b4679	Uncharacterized membrane protein YohP	yohP b4679 JW5358.1
b2140	tRNA-dihydrouridine(16) synthase (EC 1.3.1.-) (U16-specific dihydrouridine synthase) (U16-specific Dus) (tRNA-dihydrouridine synthase C)	dusC yohI b2140 JW2128
b2141	UPF0299 membrane protein YohJ	yohJ b2141 JW2129
b2142	Inner membrane protein YohK	yohK b2142 JW2130
b2143	Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase) (CDA)	cdd b2143 JW2131
b2144	Protein SanA	sanA yeiF b2144 JW2132
b2145	Uncharacterized protein YeiS	yeiS b2145 JW5359
b2146	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT (DPD) (EC 1.3.1.1) (Dihydrothymine dehydrogenase) (Dihydrouracil dehydrogenase)	preT yeiT b2146 JW2133
b2147	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA (DPD) (EC 1.3.1.1) (Dihydrothymine dehydrogenase) (Dihydrouracil dehydrogenase)	preA yeiA b2147 JW2134
b2148	Galactose/methyl galactoside import permease protein MglC	mglC b2148 JW2135
b2149	Galactose/methyl galactoside import ATP-binding protein MglA (EC 7.5.2.11)	mglA b2149 JW2136
b2150	D-galactose/methyl-galactoside binding periplasmic protein MglB (D-galactose-binding periplasmic protein) (GBP) (D-galactose/D-glucose-binding protein) (GGBP)	mglB b2150 JW2137
b2151	HTH-type transcriptional regulator GalS (Mgl repressor and galactose ultrainduction factor)	galS b2151 JW2138
b2152	Uncharacterized protein YeiB	yeiB b2152 JW2139
b2153	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	folE b2153 JW2140
b2154	S-formylglutathione hydrolase YeiG (FGH) (EC 3.1.2.12)	yeiG b2154 JW2141
b2155	Colicin I receptor	cirA cir feuA b2155 JW2142
b2156	Lysine-specific permease LysP (Lysine transporter LysP) (Trigger transporter LysP)	lysP cadR b2156 JW2143
b2157	Uncharacterized HTH-type transcriptional regulator YeiE	yeiE b2157 JW2144
b2158	UPF0324 inner membrane protein YeiH	yeiH b2158 JW2145
b2159	Endonuclease 4 (EC 3.1.21.2) (Endodeoxyribonuclease IV) (Endonuclease IV)	nfo b2159 JW2146
b2160	Uncharacterized sugar kinase YeiI (EC 2.7.1.-)	yeiI b2160 JW2147
b2161	Putative nucleoside permease NupX	nupX yeiJ b2161 JW2148
b2162	Pyrimidine-specific ribonucleoside hydrolase RihB (EC 3.2.2.8) (Cytidine/uridine-specific hydrolase)	rihB yeiK b2162 JW2149
b2163	Regulatory protein YeiL	yeiL nsr b2163 JW2150
b2164	Putative pseudouridine transporter	psuT pscT yeiM b2164 JW2151
b2165	Pseudouridine-5'-phosphate glycosidase (PsiMP glycosidase) (EC 4.2.1.70)	psuG pscG yeiN b2165 JW2152
b2166	Pseudouridine kinase (EC 2.7.1.83)	psuK pscK yeiC b2166 JW2153
b2167	PTS system fructose-specific EIIB'BC component (EIIB'BC-Fru) [Includes: PTS system fructose-specific EIIB component (EC 2.7.1.202) (EIII-Fru) (Fructose-specific phosphotransferase enzyme IIB component); PTS system fructose-specific EIIC component (Fructose permease IIC component)]	fruA ptsF b2167 JW2154
b2168	1-phosphofructokinase (EC 2.7.1.56) (Fructose 1-phosphate kinase) (Fru1PK)	fruK fpk b2168 JW2155
b2169	Multiphosphoryl transfer protein (MTP) (Diphosphoryl transfer protein) (DTP) (Phosphotransferase FPr protein) (Pseudo-HPr) [Includes: Phosphocarrier protein HPr (Protein H); PTS system fructose-specific EIIA component (EIIA-Fru) (EIII-Fru) (Fructose-specific phosphotransferase enzyme IIA component)]	fruB fpr fruF b2169 JW2156
b2170	Sugar efflux transporter B	setB yeiO b2170 JW2157
b4502	UPF0153 protein YeiW	yeiW b4502 JW5361
b2171	Elongation factor P-like protein	yeiP b2171 JW5362
b2172	Uncharacterized oxidoreductase YeiQ (EC 1.-.-.-)	yeiQ b2172 JW2160
b2173	Zinc chaperone YeiR (EC 3.6.5.-)	yeiR b2173 JW2161
b2174	Lipid A 1-diphosphate synthase (EC 2.7.4.29) (Kdo(2)-lipid A phosphotransferase) (Undecaprenyl pyrophosphate:lipid A 1-phosphate phosphotransferase)	lpxT yeiU b2174 JW2162
b2175	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase (EC 3.4.-.-) (EC 3.4.17.13) (Lipoprotein Spr) (Murein hydrolase MepS)	mepS spr yeiV b2175 JW2163
b2176	Probable cyclic di-GMP phosphodiesterase PdeN (EC 3.1.4.52)	pdeN rtn b2176 JW2164
b2177	Uncharacterized protein YejA	yejA b2177 JW2165
b2178	Inner membrane ABC transporter permease protein YejB	yejB b2178 JW2166
b2179	Inner membrane ABC transporter permease protein YejE	yejE b2179 JW2167
b2180	Uncharacterized ABC transporter ATP-binding protein YejF	yejF b2180 JW2168
b2181	Uncharacterized protein YejG	yejG b2181 JW2169
b2182	Bicyclomycin resistance protein (Sulfonamide resistance protein)	bcr bicA bicR sur suxA b2182 JW5363
b2183	Ribosomal small subunit pseudouridine synthase A (EC 5.4.99.19) (16S pseudouridylate 516 synthase) (16S rRNA pseudouridine(516) synthase) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A)	rsuA yejD b2183 JW2171
b2184	Putative DNA repair helicase RadD (EC 3.6.4.12)	radD yejH yejI yejJ b2184 JW2172
b2185	50S ribosomal protein L25 (Large ribosomal subunit protein bL25)	rplY b2185 JW2173
b2186	Nucleoid-associated protein YejK	yejK b2186 JW2174
b2187	UPF0352 protein YejL	yejL b2187 JW2175
b2188	Inner membrane protein YejM	yejM yejN b2188 JW2176
b2192	Transposase InsH for insertion sequence element IS5K	insH8 b2192 JW2179
b2193	Nitrate/nitrite response regulator protein NarP	narP b2193 JW2181
b2194	Cytochrome c-type biogenesis protein CcmH	ccmH yejP b2194 JW2182
b2195	Thiol:disulfide interchange protein DsbE (Cytochrome c biogenesis protein CcmG)	dsbE ccmG yejQ b2195 JW2183
b2196	Cytochrome c-type biogenesis protein CcmF	ccmF yejR b2196 JW2184
b2197	Cytochrome c-type biogenesis protein CcmE (Cytochrome c maturation protein E) (Heme chaperone CcmE)	ccmE yejS b2197 JW2185
b2198	Heme exporter protein D (Cytochrome c-type biogenesis protein CcmD)	ccmD yojM b2198 JW2186
b2199	Heme exporter protein C (Cytochrome c-type biogenesis protein CcmC)	ccmC yejT yejU b2199 JW2187
b2200	Heme exporter protein B (Cytochrome c-type biogenesis protein CcmB)	ccmB yejV b2200 JW2188
b2201	Cytochrome c biogenesis ATP-binding export protein CcmA (EC 7.6.2.5) (Heme exporter protein A)	ccmA yejW b2201 JW5366
b2202	Cytochrome c-type protein NapC	napC yejX b2202 JW2190
b2203	Periplasmic nitrate reductase, electron transfer subunit (Diheme cytochrome c NapB)	napB yejY b2203 JW5367
b2204	Ferredoxin-type protein NapH (Ubiquinol--[NapC cytochrome c] reductase NapH subunit)	napH yejZ b2204 JW2192
b2205	Ferredoxin-type protein NapG (Ubiquinol--[NapC cytochrome c] reductase NapG subunit)	napG yojA yojB b2205 JW2193
b2206	Periplasmic nitrate reductase (EC 1.9.6.1)	napA yojC yojD yojE b2206 JW2194
b2207	Chaperone NapD (NapA signal peptide-binding chaperone NapD)	napD yojF b2207 JW2195
b2208	Ferredoxin-type protein NapF	napF yojG b2208 JW2196
b4604	Protein YojO	yojO b4604
b2209	Ecotin	eco eti b2209 JW2197
b2210	Malate:quinone oxidoreductase (EC 1.1.5.4) (MQO) (Malate dehydrogenase [quinone])	mqo yojH b2210 JW2198
b2211	ABC transporter ATP-binding/permease protein YojI	yojI yojJ b2211 JW2199
b2212	Alpha-ketoglutarate-dependent dioxygenase AlkB (EC 1.14.11.33) (Alkylated DNA repair protein AlkB) (DNA oxidative demethylase AlkB)	alkB aidD b2212 JW2200
b2213	Bifunctional transcriptional activator/DNA repair enzyme Ada (Regulatory protein of adaptive response) [Includes: Methylphosphotriester-DNA--protein-cysteine S-methyltransferase (EC 2.1.1.n11) (Methylphosphotriester-DNA methyltransferase); Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (O6-methylguanine-DNA alkyltransferase)]	ada b2213 JW2201
b2214	FAD:protein FMN transferase (EC 2.7.1.180) (Flavin transferase)	apbE yojK yojL b2214 JW5368
b2215	Outer membrane porin C (Outer membrane protein 1B) (Outer membrane protein C) (Porin OmpC)	ompC meoA par b2215 JW2203
b2216	Phosphotransferase RcsD (EC 2.7.2.-) (Phosphotransfer intermediate RcsD)	rcsD yojN yojP yojQ b2216 JW2204
b2217	Transcriptional regulatory protein RcsB (Capsular synthesis regulator component B)	rcsB b2217 JW2205
b2218	Sensor histidine kinase RcsC (EC 2.7.13.3) (Capsular synthesis regulator component C)	rcsC b2218 JW5917/JW5920
b2219	Signal transduction histidine-protein kinase AtoS (EC 2.7.13.3)	atoS b2219 JW2213
b2220	Regulatory protein AtoC (Acetoacetate metabolism regulatory protein) (DNA-binding transcriptional regulator AtoC) (Ornithine decarboxylase antizyme)	atoC az b2220 JW2214
b2221	Acetate CoA-transferase subunit alpha (EC 2.8.3.8) (Acetoacetyl-CoA transferase subunit alpha) (AA-CoA transferase subunit alpha) (Acetyl-CoA:acetoacetyl-CoA transferase subunit alpha)	atoD b2221 JW2215
b2222	Acetate CoA-transferase subunit beta (EC 2.8.3.8) (Acetoacetyl-CoA transferase subunit beta) (AA-CoA transferase subunit beta) (Acetyl-CoA:acetoacetate CoA-transferase subunit beta)	atoA b2222 JW2216
b2223	Putative short-chain fatty acid transporter	atoE b2223 JW2217
b2224	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)	atoB b2224 JW2218
b2225	Uncharacterized protein YfaP	yfaP b2225 JW2219
b2226	Uncharacterized protein YfaQ	yfaQ b2226 JW2220
b4500	Putative alpha-2-macroglobulin homolog	yfaS yfaR b4500 JW2221/JW2222 b2227/b2228
b2229	Uncharacterized protein YfaT	yfaT b2229 JW2223
b2230	Uncharacterized protein YfaA	yfaA pufY b2230 JW2224
b2231	DNA gyrase subunit A (EC 5.6.2.2)	gyrA hisW nalA parD b2231 JW2225
b2232	Ubiquinone biosynthesis O-methyltransferase (2-octaprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone-8 3-O-methyltransferase) (EC 2.1.1.64)	ubiG pufX yfaB b2232 JW2226
b2233	Probable autotransporter YfaL [Cleaved into: Probable secreted autotransporter protein YfaL; Probable autotransporter YfaL translocator]	yfaL yfaF yfaJ yfaK b2233 JW2227
b4605	Protein YpaB	ypaB b4605
b2234	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	nrdA dnaF b2234 JW2228
b2235	Ribonucleoside-diphosphate reductase 1 subunit beta (EC 1.17.4.1) (Protein B2) (Protein R2) (Ribonucleotide reductase 1)	nrdB ftsB b2235 JW2229
b2236	Uncharacterized ferredoxin-like protein YfaE	yfaE b2236 JW2230
b2237	Protein InaA	inaA yfaG b2237 JW2231
b2238	Putative protein YfaH	yfaH b2238 JW2232
b2239	Glycerophosphodiester phosphodiesterase, periplasmic (Glycerophosphoryl diester phosphodiesterase, periplasmic) (EC 3.1.4.46)	glpQ b2239 JW2233
b2240	Glycerol-3-phosphate transporter (G-3-P transporter) (G-3-P permease)	glpT b2240 JW2234
b2241	Anaerobic glycerol-3-phosphate dehydrogenase subunit A (G-3-P dehydrogenase) (EC 1.1.5.3)	glpA b2241 JW2235
b2242	Anaerobic glycerol-3-phosphate dehydrogenase subunit B (Anaerobic G-3-P dehydrogenase subunit B) (Anaerobic G3Pdhase B) (EC 1.1.5.3)	glpB b2242 JW2236
b2243	Anaerobic glycerol-3-phosphate dehydrogenase subunit C (G-3-P dehydrogenase)	glpC b2243 JW2237
b2244	Inactive recombination-promoting nuclease-like protein RpnE	yfaD b2244 JW2238
b4543	Uncharacterized protein YpaA	ypaA b4543
b2245	2-keto-3-deoxy-L-rhamnonate aldolase (KDR aldolase) (EC 4.1.2.53) (2-dehydro-3-deoxyrhamnonate aldolase) (2-keto-3-deoxy acid sugar aldolase)	rhmA yfaU b2245 JW2239
b2246	Inner membrane transport protein RhmT	rhmT yfaV b2246 JW2240
b2247	L-rhamnonate dehydratase (RhamD) (EC 4.2.1.90)	rhmD yfaW b2247 JW2241
b2248	Uncharacterized HTH-type transcriptional regulator RhmR	rhmR yfaX b2248 JW2242
b2249	NMN amidohydrolase-like protein YfaY	yfaY b2249 JW2243
b2250	Outer membrane protein YfaZ	yfaZ b2250 JW5371
b2251	Nucleoside triphosphatase NudI (EC 3.6.1.9) (Nucleotide diphosphatase NudI) (Pyrimidine deoxynucleoside triphosphate diphosphatase) (dCTP diphosphatase) (EC 3.6.1.12) (dTTP diphosphatase) (EC 3.6.1.-) (dUTP diphosphatase) (EC 3.6.1.23)	nudI yfaO b2251 JW2245
b2252	Lipopolysaccharide core heptose(II)-phosphate phosphatase (EC 3.1.3.-) (Polymyxin resistance protein PmrG)	ais pmrG b2252 JW2246
b2253	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (Polymyxin resistance protein PmrH) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB pmrH yfbE b2253 JW5372
b2254	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Polymyxin resistance protein PmrF) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC pmrF yfbF b2254 JW2248
b2255	Bifunctional polymyxin resistance protein ArnA (Polymyxin resistance protein PmrI) [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA pmrI yfbG b2255 JW2249
b2256	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD pmrJ yfbH b2256 JW2250
b2257	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.43) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase) (Polymyxin resistance protein PmrK) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)	arnT pmrK yfbI b2257 JW2251
b4544	Probable 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE (L-Ara4N-phosphoundecaprenol flippase subunit ArnE) (Undecaprenyl phosphate-aminoarabinose flippase subunit ArnE)	arnE pmrL yfbW b4544 JW2252
b2258	Probable 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF (L-Ara4N-phosphoundecaprenol flippase subunit ArnF) (Undecaprenyl phosphate-aminoarabinose flippase subunit ArnF)	arnF pmrM yfbJ b2258 JW5373
b2259	Signal transduction protein PmrD (BasR post-transcriptional activator) (Polymyxin resistance protein PmrD)	pmrD b2259 JW2254
b2260	2-succinylbenzoate--CoA ligase (EC 6.2.1.26) (o-succinylbenzoyl-CoA synthetase) (OSB-CoA synthetase)	menE b2260 JW2255
b2261	o-succinylbenzoate synthase (OSB synthase) (OSBS) (EC 4.2.1.113) (4-(2'-carboxyphenyl)-4-oxybutyric acid synthase) (o-succinylbenzoic acid synthase)	menC b2261 JW2256
b2262	1,4-dihydroxy-2-naphthoyl-CoA synthase (DHNA-CoA synthase) (EC 4.1.3.36)	menB b2262 JW2257
b2263	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (SHCHC synthase) (EC 4.2.99.20)	menH yfbB b2263 JW2258
b2264	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9) (Menaquinone biosynthesis protein MenD)	menD b2264 JW5374
b2265	Isochorismate synthase MenF (EC 5.4.4.2) (Isochorismate hydroxymutase) (Isochorismate mutase)	menF yfbA b2265 JW2260
b2266	Protein ElaB	elaB yfbD b2266 JW2261
b2267	Protein ElaA	elaA yfbC b2267 JW2262
b2268	Ribonuclease BN (RNase BN) (EC 3.1.-.-) (Ribonuclease Z homolog) (RNase Z homolog)	rbn elaC rnz b2268 JW2263
b2269	Protease ElaD (EC 3.4.22.-) (Deubiquitinase) (Deubiquitinating enzyme) (DUB) (Deubiquitinating protease)	elaD b2269 JW5840
b2270	Uncharacterized protein YfbK	yfbK b2270 JW2265
b2271	Uncharacterized protein YfbL	yfbL b2271 JW2266
b2272	Protein YfbM	yfbM b2272 JW2267
b2273	Uncharacterized protein YfbN	yfbN b2273 JW2268
b2274	Uncharacterized protein YfbO	yfbO b2274 JW2269
b2275	Uncharacterized protein YfbP	yfbP b2275 JW2270
b2276	NADH-quinone oxidoreductase subunit N (EC 7.1.1.-) (NADH dehydrogenase I subunit N) (NDH-1 subunit N) (NUO14)	nuoN b2276 JW2271
b2277	NADH-quinone oxidoreductase subunit M (EC 7.1.1.-) (NADH dehydrogenase I subunit M) (NDH-1 subunit M) (NUO13)	nuoM b2277 JW2272
b2278	NADH-quinone oxidoreductase subunit L (EC 7.1.1.-) (NADH dehydrogenase I subunit L) (NDH-1 subunit L) (NUO12)	nuoL b2278 JW2273
b2279	NADH-quinone oxidoreductase subunit K (EC 7.1.1.-) (NADH dehydrogenase I subunit K) (NDH-1 subunit K) (NUO11)	nuoK b2279 JW2274
b2280	NADH-quinone oxidoreductase subunit J (EC 7.1.1.-) (NADH dehydrogenase I subunit J) (NDH-1 subunit J) (NUO10)	nuoJ b2280 JW2275
b2281	NADH-quinone oxidoreductase subunit I (EC 7.1.1.-) (NADH dehydrogenase I subunit I) (NDH-1 subunit I) (NUO9)	nuoI b2281 JW2276
b2282	NADH-quinone oxidoreductase subunit H (EC 7.1.1.-) (NADH dehydrogenase I subunit H) (NDH-1 subunit H) (NUO8)	nuoH b2282 JW2277
b2283	NADH-quinone oxidoreductase subunit G (EC 7.1.1.-) (NADH dehydrogenase I subunit G) (NDH-1 subunit G) (NUO7)	nuoG b2283 JW2278
b2284	NADH-quinone oxidoreductase subunit F (EC 7.1.1.-) (NADH dehydrogenase I subunit F) (NDH-1 subunit F) (NUO6)	nuoF b2284 JW2279
b2285	NADH-quinone oxidoreductase subunit E (EC 7.1.1.-) (NADH dehydrogenase I subunit E) (NDH-1 subunit E) (NUO5)	nuoE b2285 JW2280
b2286	NADH-quinone oxidoreductase subunit C/D (EC 7.1.1.-) (NADH dehydrogenase I subunit C/D) (NDH-1 subunit C/D) (NUO3/NUO4)	nuoC nuoCD nuoD b2286 JW5375
b2287	NADH-quinone oxidoreductase subunit B (EC 7.1.1.-) (NADH dehydrogenase I subunit B) (NDH-1 subunit B) (NUO2)	nuoB b2287 JW5875
b2288	NADH-quinone oxidoreductase subunit A (EC 7.1.1.-) (NADH dehydrogenase I subunit A) (NDH-1 subunit A) (NUO1)	nuoA b2288 JW2283
b2289	Probable HTH-type transcriptional regulator LrhA	lrhA genR b2289 JW2284
b2290	Glutamate-pyruvate aminotransferase AlaA (EC 2.6.1.2)	alaA yfbQ b2290 JW2287
b2291	5'-deoxynucleotidase YfbR (EC 3.1.3.89) (5'-deoxyribonucleotidase) (Nucleoside 5'-monophosphate phosphohydrolase)	yfbR b2291 JW2288
b2292	Uncharacterized transporter YfbS	yfbS b2292 JW2289
b2293	Hexitol phosphatase A (Mannitol-1-phosphatase) (EC 3.1.3.22) (Sorbitol-6-phosphatase) (EC 3.1.3.50) (Sugar-phosphatase) (EC 3.1.3.23)	hxpA yfbT b2293 JW5376
b2294	UPF0304 protein YfbU	yfbU b2294 JW2291
b2295	UPF0208 membrane protein YfbV	yfbV b2295 JW2292
b2296	Acetate kinase (EC 2.7.2.1) (Acetokinase)	ackA ack b2296 JW2293
b2297	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase)	pta b2297 JW2294
b2298	Putative basic amino acid antiporter YfcC	yfcC b2298 JW2295
b2299	Uncharacterized Nudix hydrolase YfcD (EC 3.6.-.-)	yfcD b2299 JW2296
b2300	Phosphodiesterase YfcE (EC 3.1.4.-)	yfcE b2300 JW5377
b2301	Glutathione S-transferase YfcF (EC 2.5.1.18)	yfcF b2301 JW2298
b2302	Disulfide-bond oxidoreductase YfcG (EC 1.8.4.-) (GSH-dependent disulfide-bond oxidoreductase YfcG) (GST N1-1) (GST-like protein YfcG) (Organic hydroperoxidase) (EC 1.11.1.-)	yfcG b2302 JW2299
b2303	Dihydroneopterin triphosphate 2'-epimerase (EC 5.1.99.7) (D-erythro-7,8-dihydroneopterin triphosphate epimerase)	folX b2303 JW2300
b2304	Epimerase family protein YfcH	yfcH b2304 JW2301
b2305	Recombination-promoting nuclease RpnB (EC 3.1.21.-)	rpnB yfcI b2305 JW2302
b2306	Histidine transport ATP-binding protein HisP	hisP b2306 JW2303
b2307	Histidine transport system permease protein HisM	hisM b2307 JW2304
b2308	Histidine transport system permease protein HisQ	hisQ b2308 JW2305
b2309	Histidine-binding periplasmic protein (HBP)	hisJ b2309 JW2306
b2310	Lysine/arginine/ornithine-binding periplasmic protein (LAO-binding protein)	argT b2310 JW2307
