	protein	gene
YP_004889923.1	Cell division protein, RNA-binding S4 domain-containing protein	lp_2190
YP_004889924.1	Cell division protein	lp_2191
YP_004889925.1	Cell division protein SepF	sepF lp_2192
YP_004889926.1	Cell division protein FtsZ	ftsZ lp_2193
YP_004889927.1	Cell division protein FtsA	ftsA lp_2194
YP_004889928.1	Cell division protein DivIB	divIB ftsQ lp_2195
YP_004889929.1	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG lp_2196
YP_004889930.1	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD lp_2197
YP_004889931.1	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	mraY lp_2199
YP_004889932.1	Transpeptidase, penicillin binding protein 2B	pbp2B lp_2200
YP_004889933.1	Cell division protein FtsL	ftsL lp_2201
YP_004889934.1	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH mraW lp_2202
YP_004889935.1	Transcriptional regulator MraZ	mraZ lp_2203
YP_004889936.1	Hypothetical membrane protein, DUF3397 family	lp_2205
YP_004889937.1	Mg2+ and Co2+ transport protein	lp_2206
YP_004889938.1	DNA translocase FtsK	ftsK lp_2210
YP_004889939.1	Putative tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase)	cspR lp_2211
YP_004889940.1	NADH-flavin reductase	lp_2212
YP_004889941.1	Branched-chain amino acid transport system carrier protein	brnT lp_2213
YP_004889942.1	rRNA large subunit methyltransferase A (EC 2.1.1.-)	rrmA lp_2215
YP_004889943.1	30S ribosomal protein S14	rpsN rpsN2 lp_2216
YP_004889944.1	Transport protein	lp_2217
YP_004889945.1	PTS system, glucitol/sorbitol-specific EIIA component (EC 2.7.1.69)	pts17A lp_2218
YP_004889946.1	6-phosphogluconolactonase (EC 3.1.1.31)	lp_2219
YP_004889947.1	PF03932 family protein CutC	cutC lp_2220
YP_004889948.1	Pseudouridine synthase (EC 5.4.99.-)	rluD2 lp_2221
YP_004889949.1	NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase)	nadK lp_2222
YP_004889950.1	GTP pyrophosphokinase (EC 2.7.6.5)	lp_2223
YP_004889951.1	Dithiol-disulfide isomerase, DsbA family,FrnE-like subfamily	lp_2224
YP_004889952.1	Oligoendopeptidase F (EC 3.4.24.-)	pepF1 lp_2225
YP_004889953.1	Competence protein/transcription factor,CoiA-like family	lp_2226
YP_004889954.1	Adapter protein MecA	mecA lp_2227
YP_004889955.1	Global transcriptional regulator Spx	spx lp_2228
YP_004889956.1	Metal-dependent hydrolase, beta-lactamase superfamily III	lp_2229
YP_004889957.1	ABM domain-containing protein	lp_2230
YP_004889958.1	DUF2326 domain-containing protein	lp_2231a
YP_004889959.1	RNA-binding protein, S1-type	lp_2231b
YP_004889960.1	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	ppiB lp_2231c
YP_004889961.1	Hypothetical membrane protein, DedA family	lp_2232
YP_004889962.1	Hypothetical membrane protein, DUF1461 family	lp_2234
YP_004889963.1	Hydrolase, HAD superfamily	lp_2235
YP_004889964.1	DUF1027 domain-containing protein	lp_2236
YP_004889965.1	Bifunctional protein: 5'-nucleotidase 2',3'-cyclic phosphodiesterase (EC 3.1.3.5)	lp_2237
YP_004889966.1	Metallophosphatase	lp_2238
YP_004889967.1	Amino acid transport protein	lp_2240
YP_004889968.1	Acetate kinase (EC 2.7.2.1) (Acetokinase)	ackA lp_2242
YP_004889969.1	Type I restriction-modification system,adenine-specific methyltransferase subunit (EC 2.1.1.72)	lp_2243
YP_004889970.1	Bacterial type II secretion/trafficking system protein	lp_2244
YP_004889971.1	Bacterial type II secretion/trafficking system extracellular protein	lp_2246
YP_004889972.1	Bacterial type II secretion/trafficking system protein	lp_2247
YP_004889973.1	Bacterial type II secretion/trafficking system protein F	lp_2248
YP_004889974.1	Bacterial type II secretion/trafficking system protein E, ATPase	gspE lp_2249
YP_004889975.1	Ribokinase (RK) (EC 2.7.1.15)	rbsK2 rbsK lp_2251
YP_004889976.1	Probable transcriptional regulatory protein lp_2253	lp_2253
YP_004889977.1	DrsE domain-containing protein	lp_2254
YP_004889978.1	AP_endonuc_2 domain-containing protein	lp_2255
YP_004889979.1	Catabolite control protein A	ccpA lp_2256
YP_004889980.1	Xaa-Pro dipeptidase (EC 3.4.13.9)	pepQ lp_2258
YP_004889981.1	Transcription regulator, MerR family	lp_2259
YP_004889982.1	Extracellular protein, DUF336 family	lp_2260
YP_004889983.1	DUF948 domain-containing protein	lp_2261
YP_004889984.1	Mechanosensitive ion channel family protein	lp_2262
YP_004889985.1	N-acetyldiaminopimelate deacetylase (EC 3.5.1.47)	lp_2263
YP_004889986.1	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89) (Tetrahydrodipicolinate N-acetyltransferase) (THP acetyltransferase) (Tetrahydropicolinate acetylase)	dapH lp_2264
YP_004889987.1	CBS domain-containing protein	lp_2265
YP_004889988.1	Phosphoesterase (EC 3.1.4.-)	lp_2266
YP_004889989.1	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	lp_2267
YP_004889990.1	Glutamate racemase (EC 5.1.1.3)	murI lp_2268
YP_004889991.1	DUF2507 domain-containing protein	lp_2269
YP_004889992.1	Thioredoxin	trxA2 lp_2270
YP_004889993.1	Endonuclease MutS2 (EC 3.1.-.-)	mutS2 lp_2271
YP_004889994.1	Cell-division Z-ring component, stimulator of FtsZ polymerization	zapA lp_2272
YP_004889995.1	UPF0473 protein lp_2273	lp_2273
YP_004889996.1	Putative pre-16S rRNA nuclease (EC 3.1.-.-)	lp_2274
YP_004889997.1	UPF0297 protein lp_2275	lp_2275
YP_004889999.1	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	alaS lp_2277
YP_004890000.1	DEAD-box ATP-dependent RNA helicase CshB (EC 3.6.4.13)	rhe3 cshB lp_2278
YP_004890001.1	Phosphoesterase, DHH family	lp_2279
YP_004890002.1	DNA polymerase IV (Pol IV) (EC 2.7.7.7)	dinB dinP lp_2280
YP_004890003.1	Preprotein translocase, YajC subunit	yajC lp_2281
YP_004890004.1	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt lp_2282
YP_004890005.1	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)	queA lp_2285
YP_004890006.1	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	ruvB lp_2286
YP_004890007.1	Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12)	ruvA lp_2287
YP_004890008.1	DUF1775 domain-containing protein	lp_2289
YP_004890009.1	Hypothetical membrane protein	lp_2290
YP_004890010.1	Transposase	lp_2292
YP_004890011.1	DNA mismatch repair protein MutL	mutL hexB lp_2297
YP_004890012.1	DNA mismatch repair protein MutS	mutS hexA lp_2298
YP_004890013.1	Metallophosphatase (MPP) superfamily protein	lp_2299
YP_004890014.1	Ribonuclease Y (RNase Y) (EC 3.1.-.-)	rny lp_2300
YP_004890015.1	Protein RecA (Recombinase A)	recA lp_2301
YP_004890016.1	Putative competence-damage inducible protein	cinA lp_2302
YP_004890017.1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase)	pgsA lp_2303
YP_004890018.1	Transcription regulator, Xre family	lp_2304
YP_004890019.1	Zinc-dependent proteinase, M16 family (EC 3.4.-.-)	lp_2305
YP_004890020.1	Non-proteolytic protein, peptidase family M16	lp_2306
YP_004890021.1	Aspartokinase (EC 2.7.2.4)	thrA2 lp_2308
YP_004890022.1	Glutamine/histidine ABC transporter, substrate binding protein	glnH2 lp_2312
YP_004890023.1	Glutamine/histidine ABC transporter,ATP-binding protein	glnQ4 lp_2313
YP_004890024.1	Glutamine/histidine ABC transporter, permease protein	glnP2 lp_2314
YP_004890025.1	Septum site-determining protein MinD (Cell division inhibitor MinD)	minD lp_2315
YP_004890026.1	Septum site-determining protein MinC	minC lp_2316
YP_004890027.1	Cell shape determining protein MreD	mreD lp_2317
YP_004890028.1	Cell shape-determining protein MreC (Cell shape protein MreC)	mreC lp_2318
YP_004890029.1	Cell shape-determining protein MreB	mreB1 mreB lp_2319
YP_004890030.1	DNA repair protein	radC lp_2320
YP_004890031.1	FormylTHF-polyglutamate synthase / folyl-polyglutamate synthase / hydrofolate synthase (EC 6.3.2.12, EC 6.3.2.17)	folC1 lp_2321
YP_004890032.1	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	valS lp_2322
YP_004890033.1	Thiol peroxidase (EC 1.11.1.-)	tpx lp_2323
YP_004890034.1	Glutamate--cysteine ligase (EC 6.3.2.2)	gshA lp_2324
YP_004890035.1	Probable tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	thiI lp_2325
YP_004890036.1	Cysteine desulfurase (EC 2.8.1.7)	csd2 lp_2326
YP_004890037.1	Septation ring formation regulator EzrA	ezrA lp_2328
YP_004890038.1	Signaling protein containing GAF domain	lp_2330
YP_004890039.1	30S ribosomal protein S4	rpsD lp_2331
YP_004890040.1	UPF0637 protein lp_2332	lp_2332
YP_004890041.1	DUF1694 domain-containing protein	lp_2333
YP_004890042.1	Hypothetical membrane protein, DUF1648 family	lp_2334
YP_004890043.1	Transcription regulator, ArsR family	lp_2335
YP_004890044.1	Glutathione biosynthesis bifunctional protein GshAB (Gamma-GCS-GS) (GCS-GS) [Includes: Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase); Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GS) (GSH-S) (GSHase) (Glutathione synthase)]	gshAB gshF lp_2336
YP_004890045.1	ATPase, AAA family	lp_2337
YP_004890046.1	Hypothetical membrane protein	lp_2339
YP_004890047.1	Universal stress protein	lp_2340
YP_004890048.1	Beta-lactamase, class A (EC 3.5.2.6)	bla2 lp_2341
YP_004890049.1	Transcription regulator, Xre family	lp_2342
YP_004890050.1	Glycerophosphodiester phosphodiesterase (EC 3.1.4.46)	glpQ3 lp_2344
YP_004890051.1	D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase)	ddl lp_2345
YP_004890052.1	Zinc-type alcohol dehydrogenase-like protein	lp_2346
YP_004890053.1	DUF2785 domain-containing protein	lp_2347
YP_004890054.1	L-2-hydroxyisocaproate dehydrogenase (EC 1.1.1.-)	hicD3 lp_2349
YP_004890055.1	Lipoprotein	lp_2350
YP_004890056.1	D-Methionine-like ABC transporter,permease protein	lp_2351
YP_004890057.1	Methionine import ATP-binding protein MetN 2 (EC 7.4.2.11)	metN2 lp_2352
YP_004890058.1	Glycine cleavage system, H protein	gcsH2 lp_2353
YP_004890059.1	Rod-shape determining protein	rodA2 lp_2354
YP_004890060.1	DUF2969 domain-containing protein	lp_2357
YP_004890061.1	Putative membrane protein insertion efficiency factor	lp_2358
YP_004890062.1	Cell shape-determining protein MreB	mreB2 mreB lp_2359
YP_004890063.1	Ribosomal protein serine-acetylating enzyme (EC 2.3.1.-)	lp_2360
YP_004890064.1	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1 (EC 2.5.1.7) (Enoylpyruvate transferase 1) (UDP-N-acetylglucosamine enolpyruvyl transferase 1) (EPT 1)	murA1 lp_2361
YP_004890065.1	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	atpC lp_2363
YP_004890066.1	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD lp_2364
YP_004890067.1	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG lp_2365
YP_004890068.1	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA lp_2366
YP_004890069.1	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)	atpH lp_2367
YP_004890070.1	ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b)	atpF lp_2368
YP_004890071.1	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpE lp_2369
YP_004890072.1	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	atpB lp_2370
YP_004890073.1	Uracil transport protein	pyrP lp_2371
YP_008479741.1	NA	NA
YP_004890074.1	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	upp lp_2374
YP_004890075.1	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA lp_2375
YP_004890076.1	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase)	lp_2376
YP_004890077.1	Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (N5-glutamine methyltransferase PrmC) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)	prmC lp_2377
YP_004890078.1	Peptide chain release factor 1 (RF-1)	prfA lp_2378
YP_004890079.1	Thymidine kinase (EC 2.7.1.21)	tdk lp_2379
YP_004890080.1	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT (EC 6.3.5.13)	murT lp_2380
YP_004890081.1	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD (EC 6.3.5.13) (Lipid II isoglutaminyl synthase glutaminase subunit) (EC 3.5.1.2)	gatD lp_2382
YP_004890082.1	Mannose-6-phosphate isomerase (EC 5.3.1.8)	pmi lp_2384
YP_004890083.1	Beta-lactamase family protein	lp_2385
YP_004890084.1	DUF3329 domain-containing protein	lp_2388
YP_004890085.1	Branched-chain-amino-acid transaminase (EC 2.6.1.42)	bcaT lp_2390
YP_004890086.1	Glyco_hydro_38C domain-containing protein	lp_2391
YP_004890087.1	Lipoprotein	lp_2393
YP_004890088.1	ABC transporter, ATP-binding and permease protein	lp_2394
YP_004890089.1	ABC transporter, ATP-binding and permease protein	lp_2395
YP_004890090.1	Extracellular protein, DUF 1093 family,membrane-bound	lp_2396
YP_004890091.1	Prophage P2a protein 59 extracellular polysaccharide deacetylase, lipid-anchored	lp_2397
YP_004890092.1	Prophage P2a protein 58, holin	lp_2399
YP_004890093.1	Prophage P2a protein 57	lp_2400
YP_004890094.1	Prophage P2a protein 56, lysin	lp_2401
YP_004890095.1	Prophage P2a protein 55	lp_2402
YP_004890096.1	Prophage P2a protein 54	lp_2403
YP_004890097.1	Prophage P2a protein 53	lp_2404
YP_004890098.1	Prophage P2a protein 52	lp_2405
YP_004890099.1	Prophage P2a protein 51	lp_2406
YP_004890100.1	Prophage P2a protein 50	lp_2407
YP_004890101.1	Prophage P2a protein 49	lp_2408
YP_004890102.1	Prophage P2a protein 48 tape measure protein	lp_2409
YP_004890103.1	Prophage P2a protein 47	lp_2410
YP_004890104.1	Prophage P2a protein 46	lp_2411
YP_004890105.1	Prophage P2a protein 45	lp_2412
YP_004890106.1	Prophage P2a protein 44	lp_2413
YP_004890107.1	Prophage P2a protein 43 head-tail joining protein	lp_2414
YP_004890108.1	Prophage P2a protein 42	lp_2415
YP_004890109.1	Prophage P2a protein 41	lp_2416
YP_004890110.1	Prophage P2a protein 40 major capsid protein	lp_2417
YP_004890111.1	Prophage P2a protein 39 scaffold protein	lp_2418
YP_004890112.1	Prophage P2a protein 38 minor head protein	lp_2419
YP_004890113.1	Prophage P2a protein 37 portal protein	lp_2420
YP_004890116.1	Prophage P2a protein 34 terminase small subunit TerS	lp_2423
YP_004890117.1	Prophage P2a protein 33	lp_2424
YP_004890118.1	Prophage P2a protein 32	lp_2425
YP_004890119.1	Prophage P2a protein 31 phage transcription regulator, ArpU family	lp_2426
YP_004890120.1	Prophage P2a protein 30	lp_2427
YP_004890121.1	Prophage P2a protein 29	lp_2428
YP_004890122.1	Prophage P2a protein 28	lp_2429
YP_004890123.1	Prophage P2a protein 27	lp_2430
YP_004890124.1	Prophage P2a protein 26	lp_2431
YP_004890125.1	Prophage P2a protein 25	lp_2432
YP_004890126.1	Prophage P2a protein 24 endodeoxyribonuclease RusA-like	lp_2433
YP_004890127.1	Prophage P2a protein 23	lp_2434
YP_004890128.1	Prophage P1 protein 22 (Prophage P2a protein 22)	lp_0645 lp_2435
YP_004890129.1	Prophage P2a protein 21	lp_2436
YP_004890130.1	Prophage P2a protein 20, replication protein DnaD domain	lp_2437
YP_004890131.1	Prophage P2a protein 18	lp_2439
YP_004890132.1	Prophage P2a protein 17	lp_2440
YP_004890133.1	Prophage P2a protein 16	lp_2441
YP_004890134.1	Prophage P2a protein 15	lp_2442
YP_008479742.1	NA	NA
YP_008479743.1	NA	NA
YP_004890136.1	Prophage P2a protein 13	lp_2444
YP_004890137.1	Prophage P2a protein 12	lp_2445
YP_004890138.1	Prophage P2a protein 11	lp_2446
YP_004890139.1	Prophage P2a protein 10, phage transcription regulator, Cro/CI family	lp_2447
YP_004890140.1	Prophage P2a protein 9, phage transcription regulator, Cro/CI family	lp_2448
YP_004890141.1	Prophage P2a protein 8	lp_2449
YP_004890142.1	Prophage P2a protein 7 extracellular protein with lipoprotein anchor	lp_2450
YP_004890143.1	Prophage P2a protein 6 endonuclease	lp_2451
YP_004890144.1	Prophage P2a protein 5	lp_2452
YP_004890145.1	Prophage P2a protein 4 AAA ATPase	lp_2453
YP_004890146.1	Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	lp_2454
YP_004890147.1	Prophage P2a protein 2, integrase	lp_2455
YP_004890148.1	Prophage P2b protein 24	lp_2457
YP_004890149.1	Prophage P2b protein 21	lp_2460
YP_004890150.1	Prophage P2b protein 20	lp_2461
YP_004890151.1	Prophage P2b protein 19, head-to-tail joining	lp_2462
YP_004890152.1	Prophage P2b protein 18, major capsid protein	lp_2463
YP_004890153.1	Prophage P2b protein 17, portal protein	lp_2464
YP_004890154.1	Prophage P2b protein 15, terminase large subunit	lp_2466
YP_004890155.1	Prophage P2b protein 14, terminase small subunit	lp_2467
YP_004890156.1	Prophage P2b protein 12, endonuclease	lp_2469
YP_004890157.1	Prophage P2b protein 11, head-to-tail joining	lp_2470
YP_004890158.1	Prophage P2b protein 10	lp_2471
YP_004890159.1	Prophage P2b protein 9	lp_2472
YP_004890160.1	Prophage P2b protein 8, helicase	lp_2473
YP_004890161.1	Prophage P2b protein 7, DNA replication	lp_2474
YP_004890162.1	Prophage P2b protein 6	lp_2475
YP_004890163.1	Prophage P2b protein 5	lp_2476
YP_004890164.1	Prophage P2b protein 4	lp_2477
YP_004890165.1	Prophage P2b protein 2, phage transcription regulator, Cro/CI family	lp_2479
YP_004890166.1	Prophage P2b protein 1, integrase	lp_2480
YP_004890167.1	DUF4222 domain-containing protein	lp_2482
YP_004890168.1	Triple QxxK/R motif-containing protein	lp_2483
YP_004890169.1	Transcription regulator, MarR family	lp_2484
YP_004890170.1	Chromosome partition protein Smc	lp_2485
YP_004890171.1	Mucus-binding protein, LPXTG-motif cell wall anchor	lp_2486
YP_004890172.1	Uncharacterized protein	lp_2488
YP_004890173.1	Alkaline phosphatase	lp_2488a
YP_004890174.1	Uncharacterized protein	lp_2488b
YP_004890175.1	Uncharacterized protein	lp_2488c
YP_004890176.1	Uncharacterized protein	lp_2488d lp_2488e lp_2488f
YP_004890177.1	Uncharacterized protein	lp_2488d lp_2488e lp_2488f
YP_004890178.1	Uncharacterized protein	lp_2488d lp_2488e lp_2488f
YP_004890179.1	Uncharacterized protein	lp_2488g
YP_004890180.1	Uncharacterized protein	lp_2488h
YP_004890181.1	Efflux ABC transporter, ATP-binding and permease protein	lp_2497
YP_004890182.1	Poly(Glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)	tagE4 lp_2498
YP_004890183.1	ABC transporter, ATP-binding and permease protein	lp_2499
YP_004890184.1	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	pgi lp_2502
YP_004890185.1	Putative sugar uptake protein lp_2503	lp_2503
YP_004890186.1	SAM-dependent methyltransferase	lp_2504
YP_004890187.1	Histidine kinase (EC 2.7.13.3)	hpk7 lp_2505
YP_004890188.1	Two-component system response regulator	rrp7 lp_2506
YP_004890189.1	UPF0210 protein lp_2507	lp_2507
YP_004890190.1	UPF0237 protein lp_2508	lp_2508
YP_004890191.1	Drug/metabolite transport protein, EamA family	lp_2509
YP_004890192.1	Hypothetical membrane protein, DUF1393 family	lp_2512
YP_004890193.1	PINc domain-containing protein	lp_2513
YP_004890194.1	Carbohydrate transporter, major facilitator superfamily (MFS)	lp_2514
YP_004890195.1	Phosphohydrolase, MutT/nudix family	lp_2515
YP_004890196.1	Transposase	lp_2516
YP_004890197.1	Cell surface hydrolase, DUF915 family,membrane-bound	lp_2519
YP_004890198.1	Extracellular protein, NlpC/P60 family,gamma-D-glutamate-meso-diaminopimelate muropeptidase (EC 3.4.19.11)	lp_2520
